Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=2, Input=[BCUPLOAD,999-BC1,999,ENG,HK,999999028,"BANK OF EAST ASIA LTD], Reason=Parsing error at line: 2 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,999-BC1,999,ENG,HK,999999028,"BANK OF EAST ASIA LTD]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=3, Input=[","BEASHKHH], Reason=Parsing error at line: 3 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[","BEASHKHH]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=4, Input=[","10DES VOEUX ROAD], Reason=Parsing error at line: 4 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[","10DES VOEUX ROAD]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=5, Input=[","CENTRAL HONGKONG], Reason=Parsing error at line: 5 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[","CENTRAL HONGKONG]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=6, Input=[","HONG KONG], Reason=Parsing error at line: 6 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[","HONG KONG]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=7, Input=[",N,999999028,DRAWEE,U,,4,], Reason=Parsing error at line: 7 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[",N,999999028,DRAWEE,U,,4,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=28, Input=[BCUPLOAD,ICBS007559,999,ENG,PG,000266790,Tusbab Secondary School,"P O BOX 2034, MADANG, MADANG PROVINCE",,,PNG,N,000266790,DRAWEE,,,7,], Reason=Parsing error at line: 28 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007559,999,ENG,PG,000266790,Tusbab Secondary School,"P O BOX 2034, MADANG, MADANG PROVINCE",,,PNG,N,000266790,DRAWEE,,,7,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=29, Input=[BCUPLOAD,ICBS007559,999,ENG,SG,999999999,,,,,,Y,999999999,DRAWER,,,7,], Reason=Parsing error at line: 29 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007559,999,ENG,SG,999999999,,,,,,Y,999999999,DRAWER,,,7,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=30, Input=[BCUPLOAD,ICBS007589,999,ENG,PG,000014980,Malabunga Secondary School,"P O BOX 437, RABAUL, ENBP PAPUA NEW GUINEA",,,PNG,N,000014980,DRAWEE,,,8,], Reason=Parsing error at line: 30 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007589,999,ENG,PG,000014980,Malabunga Secondary School,"P O BOX 437, RABAUL, ENBP PAPUA NEW GUINEA",,,PNG,N,000014980,DRAWEE,,,8,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=31, Input=[BCUPLOAD,ICBS007589,999,ENG,SG,999999999,,,,,,Y,999999999,DRAWER,,,8,], Reason=Parsing error at line: 31 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007589,999,ENG,SG,999999999,,,,,,Y,999999999,DRAWER,,,8,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=32, Input=[BCUPLOAD,ICBS007607,999,ENG,PG,000026617,Good Shephered Lutheran Church,"MADANG, MADANG PROVINCE",,,PNG,N,000026617,DRAWEE,,,9,], Reason=Parsing error at line: 32 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007607,999,ENG,PG,000026617,Good Shephered Lutheran Church,"MADANG, MADANG PROVINCE",,,PNG,N,000026617,DRAWEE,,,9,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=33, Input=[BCUPLOAD,ICBS007607,999,ENG,SG,999999999,,,,,,Y,999999999,DRAWER,,,9,], Reason=Parsing error at line: 33 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007607,999,ENG,SG,999999999,,,,,,Y,999999999,DRAWER,,,9,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=34, Input=[BCUPLOAD,ICBS007699,999,ENG,PG,000142870,Pacific Foam Limited,"P O BOX 7071 SEC 32, LOT5 MAGGI HWY, 6 MILE NCD PNG",,,PNG,N,000142870,DRAWEE,,,10,], Reason=Parsing error at line: 34 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007699,999,ENG,PG,000142870,Pacific Foam Limited,"P O BOX 7071 SEC 32, LOT5 MAGGI HWY, 6 MILE NCD PNG",,,PNG,N,000142870,DRAWEE,,,10,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=35, Input=[BCUPLOAD,ICBS007699,999,ENG,HK,999999999,,,,,,Y,999999999,DRAWER,,,10,], Reason=Parsing error at line: 35 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007699,999,ENG,HK,999999999,,,,,,Y,999999999,DRAWER,,,10,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=36, Input=[BCUPLOAD,ICBS007719,999,ENG,PG,000084962,Naruwe Agencies Ltd,"LOT 33 SECTION 439, ISLANDER VILLAGE, WAIGANI PNG",,,PNG,N,000084962,DRAWEE,,,11,], Reason=Parsing error at line: 36 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007719,999,ENG,PG,000084962,Naruwe Agencies Ltd,"LOT 33 SECTION 439, ISLANDER VILLAGE, WAIGANI PNG",,,PNG,N,000084962,DRAWEE,,,11,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=37, Input=[BCUPLOAD,ICBS007719,999,ENG,DK,999999999,,,,,,Y,999999999,DRAWER,,,11,], Reason=Parsing error at line: 37 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007719,999,ENG,DK,999999999,,,,,,Y,999999999,DRAWER,,,11,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=38, Input=[BCUPLOAD,ICBS007734,999,ENG,PG,000084962,Naruwe Agencies Ltd,"LOT 33 SECTION 439, ISLANDER VILLAGE, WAIGANI PNG",,,PNG,N,000084962,DRAWEE,,,12,], Reason=Parsing error at line: 38 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007734,999,ENG,PG,000084962,Naruwe Agencies Ltd,"LOT 33 SECTION 439, ISLANDER VILLAGE, WAIGANI PNG",,,PNG,N,000084962,DRAWEE,,,12,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=39, Input=[BCUPLOAD,ICBS007734,999,ENG,DK,999999999,,,,,,Y,999999999,DRAWER,,,12,], Reason=Parsing error at line: 39 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007734,999,ENG,DK,999999999,,,,,,Y,999999999,DRAWER,,,12,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=40, Input=[BCUPLOAD,ICBS007751,999,ENG,PG,000172691,PNG Power Ltd,"CNR WARDS ROAD, HOHOLA, BOROKO NCD 111 PAPUA NEW GUINEA",,,,N,000172691,DRAWEE,,,13,], Reason=Parsing error at line: 40 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007751,999,ENG,PG,000172691,PNG Power Ltd,"CNR WARDS ROAD, HOHOLA, BOROKO NCD 111 PAPUA NEW GUINEA",,,,N,000172691,DRAWEE,,,13,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=41, Input=[BCUPLOAD,ICBS007751,999,ENG,AU,999999999,,,,,,Y,999999999,DRAWER,,,13,], Reason=Parsing error at line: 41 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007751,999,ENG,AU,999999999,,,,,,Y,999999999,DRAWER,,,13,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=42, Input=[BCUPLOAD,ICBS007784,999,ENG,PG,000059036,Garamut Enterprises Ltd," P O BOX 88 GORDONS, PORT MORESBY NCD PNG",,,PNG,N,000059036,DRAWEE,,,14,], Reason=Parsing error at line: 42 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007784,999,ENG,PG,000059036,Garamut Enterprises Ltd," P O BOX 88 GORDONS, PORT MORESBY NCD PNG",,,PNG,N,000059036,DRAWEE,,,14,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=43, Input=[BCUPLOAD,ICBS007784,999,ENG,AU,999999999,,,,,,Y,999999999,DRAWER,,,14,], Reason=Parsing error at line: 43 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007784,999,ENG,AU,999999999,,,,,,Y,999999999,DRAWER,,,14,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=44, Input=[BCUPLOAD,ICBS007785,999,ENG,PG,000059036,Garamut Enterprises Ltd," P O BOX 88 GORDONS, PORT MORESBY NCD PNG",,,PNG,N,000059036,DRAWEE,,,15,], Reason=Parsing error at line: 44 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007785,999,ENG,PG,000059036,Garamut Enterprises Ltd," P O BOX 88 GORDONS, PORT MORESBY NCD PNG",,,PNG,N,000059036,DRAWEE,,,15,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=45, Input=[BCUPLOAD,ICBS007785,999,ENG,AU,999999999,,,,,,Y,999999999,DRAWER,,,15,], Reason=Parsing error at line: 45 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007785,999,ENG,AU,999999999,,,,,,Y,999999999,DRAWER,,,15,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=46, Input=[BCUPLOAD,ICBS007786,999,ENG,PG,000059036,Garamut Enterprises Ltd," P O BOX 88 GORDONS, PORT MORESBY NCD PNG",,,PNG,N,000059036,DRAWEE,,,16,], Reason=Parsing error at line: 46 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007786,999,ENG,PG,000059036,Garamut Enterprises Ltd," P O BOX 88 GORDONS, PORT MORESBY NCD PNG",,,PNG,N,000059036,DRAWEE,,,16,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=47, Input=[BCUPLOAD,ICBS007786,999,ENG,AU,999999999,,,,,,Y,999999999,DRAWER,,,16,], Reason=Parsing error at line: 47 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007786,999,ENG,AU,999999999,,,,,,Y,999999999,DRAWER,,,16,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=48, Input=[BCUPLOAD,ICBS007787,999,ENG,PG,000059036,Garamut Enterprises Ltd," P O BOX 88 GORDONS, PORT MORESBY NCD PNG",,,PNG,N,000059036,DRAWEE,,,17,], Reason=Parsing error at line: 48 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007787,999,ENG,PG,000059036,Garamut Enterprises Ltd," P O BOX 88 GORDONS, PORT MORESBY NCD PNG",,,PNG,N,000059036,DRAWEE,,,17,]
Wed Jul 23 12:26:46 IST 2025 --> READ SKIPPED: Line=49, Input=[BCUPLOAD,ICBS007787,999,ENG,AU,999999999,,,,,,Y,999999999,DRAWER,,,17,], Reason=Parsing error at line: 49 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007787,999,ENG,AU,999999999,,,,,,Y,999999999,DRAWER,,,17,]
Wed Jul 23 12:26:46 IST 2025 --> READ SKIPPED: Line=50, Input=[BCUPLOAD,ICBS007791,999,ENG,PG,000059036,Garamut Enterprises Ltd," P O BOX 88 GORDONS, PORT MORESBY NCD PNG",,,PNG,N,000059036,DRAWEE,,,18,], Reason=Parsing error at line: 50 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007791,999,ENG,PG,000059036,Garamut Enterprises Ltd," P O BOX 88 GORDONS, PORT MORESBY NCD PNG",,,PNG,N,000059036,DRAWEE,,,18,]
Wed Jul 23 12:26:46 IST 2025 --> READ SKIPPED: Line=51, Input=[BCUPLOAD,ICBS007791,999,ENG,AU,999999999,,,,,,Y,999999999,DRAWER,,,18,], Reason=Parsing error at line: 51 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007791,999,ENG,AU,999999999,,,,,,Y,999999999,DRAWER,,,18,]
Wed Jul 23 12:26:46 IST 2025 --> READ SKIPPED: Line=52, Input=[BCUPLOAD,ICBS007792,999,ENG,PG,000129868,Niugini Electrical,"SECTION 82, LOT 14-14, AIRCORPS RD, LAE, MOROBE PROVINCE PNG",,,PNG,N,000129868,DRAWEE,,,19,], Reason=Parsing error at line: 52 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007792,999,ENG,PG,000129868,Niugini Electrical,"SECTION 82, LOT 14-14, AIRCORPS RD, LAE, MOROBE PROVINCE PNG",,,PNG,N,000129868,DRAWEE,,,19,]
